,region,genes
8633,chr1-72030743-72030993,"Fn1 (-377693), Mreg (+181439)"
8634,chr1-72035310-72035413,"Fn1 (-382187), Mreg (+176945)"
8635,chr1-72036602-72037032,"Fn1 (-383642), Mreg (+175490)"
8636,chr1-72038369-72038828,"Fn1 (-385424), Mreg (+173708)"
8637,chr1-72046296-72046714,"Fn1 (-393330), Mreg (+165802)"
8639,chr1-72056393-72056598,"Fn1 (-403321), Mreg (+155811)"
8640,chr1-72060491-72060645,"Fn1 (-407393), Mreg (+151739)"
8642,chr1-72069053-72069408,"Fn1 (-416056), Mreg (+143076)"
8643,chr1-72070522-72070853,"Fn1 (-417513), Mreg (+141619)"
8644,chr1-72076095-72076218,"Fn1 (-422982), Mreg (+136150)"
8645,chr1-72076426-72076934,"Fn1 (-423505), Mreg (+135627)"
8646,chr1-72099502-72099707,"Fn1 (-446430), Mreg (+112702)"
8647,chr1-72104018-72104509,"Fn1 (-451089), Mreg (+108043)"
8648,chr1-72105473-72105844,"Fn1 (-452484), Mreg (+106648)"
8649,chr1-72107180-72107334,"Fn1 (-454082), Mreg (+105050)"
8650,chr1-72110792-72111037,"Fn1 (-457740), Mreg (+101392)"
8651,chr1-72115417-72115562,"Fn1 (-462315), Mreg (+96817)"
8652,chr1-72123551-72124103,"Fn1 (-470652), Mreg (+88480)"
8653,chr1-72141995-72142336,"Fn1 (-488991), Mreg (+70141)"
8654,chr1-72166007-72166407,"Fn1 (-513032), Mreg (+46100)"
8655,chr1-72172921-72173139,"Fn1 (-519855), Mreg (+39277)"
8656,chr1-72173381-72173838,"Fn1 (-520435), Mreg (+38697)"
8657,chr1-72177475-72177849,"Fn1 (-524487), Mreg (+34645)"
8658,chr1-72183021-72183498,"Fn1 (-530085), Mreg (+29047)"
8659,chr1-72210945-72211115,"Fn1 (-557855), Mreg (+1277)"
8694,chr1-72717101-72717225,"Igfbp2 (-107340), Rpl37a (+5873)"
8695,chr1-72718779-72719136,"Igfbp2 (-105545), Rpl37a (+7668)"
8696,chr1-72736182-72737045,"Igfbp2 (-87889), Rpl37a (+25324)"
8697,chr1-72805078-72805410,"Igfbp2 (-19259), Rpl37a (+93954)"
8698,chr1-72805851-72806580,"Igfbp2 (-18287), Rpl37a (+94926)"
8699,chr1-72813329-72814627,"Igfbp2 (-10525), Rpl37a (+102688)"
8700,chr1-72823789-72825177,Igfbp2 (-20)
8701,chr1-72825486-72825626,"Igfbp2 (+1053), Igfbp5 (+49328)"
8702,chr1-72826016-72826171,"Igfbp2 (+1591), Igfbp5 (+48790)"
8703,chr1-72826456-72827280,"Igfbp2 (+2365), Igfbp5 (+48016)"
8704,chr1-72827484-72827634,"Igfbp2 (+3056), Igfbp5 (+47325)"
8705,chr1-72832830-72833198,"Igfbp2 (+8511), Igfbp5 (+41870)"
8706,chr1-72854805-72855346,"Igfbp5 (+19808), Igfbp2 (+30573)"
8707,chr1-72865893-72866099,"Igfbp5 (+8888), Igfbp2 (+41493)"
8708,chr1-72870260-72870619,"Igfbp5 (+4444), Igfbp2 (+45937)"
8709,chr1-72871021-72871316,"Igfbp5 (+3715), Igfbp2 (+46666)"
8710,chr1-72871810-72871933,"Igfbp5 (+3012), Igfbp2 (+47369)"
8711,chr1-72872589-72872789,"Igfbp5 (+2195), Igfbp2 (+48186)"
8712,chr1-72873585-72874127,"Igfbp5 (+1028), Igfbp2 (+49353)"
8713,chr1-72874914-72875145,Igfbp5 (-146)
8714,chr1-72877957-72878287,Igfbp5 (-3238)
8715,chr1-72897782-72898564,"Igfbp5 (-23289), Tnp1 (+117736)"
8716,chr1-72936299-72936488,"Igfbp5 (-61510), Tnp1 (+79515)"
8717,chr1-72944995-72946544,"Igfbp5 (-70886), Tnp1 (+70139)"
8718,chr1-72950732-72950844,"Igfbp5 (-75904), Tnp1 (+65121)"
8719,chr1-72951883-72952097,"Igfbp5 (-77106), Tnp1 (+63919)"
8720,chr1-72963351-72963945,"Igfbp5 (-88764), Tnp1 (+52261)"
8721,chr1-72969268-72969731,"Igfbp5 (-94616), Tnp1 (+46409)"
8722,chr1-72986849-72987030,"Igfbp5 (-112056), Tnp1 (+28969)"
9917,chr1-90161712-90163091,"Ackr3 (-41578), Iqca (-9001)"
9918,chr1-90164554-90164653,"Ackr3 (-39376), Iqca (-11203)"
9919,chr1-90201278-90201852,Ackr3 (-2415)
9920,chr1-90202197-90202719,Ackr3 (-1522)
9921,chr1-90203713-90204270,Ackr3 (+12)
9922,chr1-90205383-90205568,"Cops8 (-397505), Ackr3 (+1496)"
9923,chr1-90207712-90207867,"Cops8 (-395191), Ackr3 (+3810)"
9924,chr1-90215801-90216744,"Cops8 (-386708), Ackr3 (+12293)"
9925,chr1-90218635-90218763,"Cops8 (-384282), Ackr3 (+14719)"
9926,chr1-90221595-90221767,"Cops8 (-381300), Ackr3 (+17701)"
9927,chr1-90225410-90226104,"Cops8 (-377224), Ackr3 (+21777)"
9928,chr1-90227821-90228112,"Cops8 (-375014), Ackr3 (+23987)"
9929,chr1-90228498-90228625,"Cops8 (-374419), Ackr3 (+24582)"
9930,chr1-90234429-90234843,"Cops8 (-368345), Ackr3 (+30656)"
9931,chr1-90245610-90245786,"Cops8 (-357283), Ackr3 (+41718)"
9932,chr1-90289426-90290696,"Cops8 (-312920), Ackr3 (+86081)"
9933,chr1-90322793-90323009,"Cops8 (-280080), Ackr3 (+118921)"
9934,chr1-90369422-90369556,"Cops8 (-233492), Ackr3 (+165509)"
9935,chr1-90370624-90371054,"Cops8 (-232142), Ackr3 (+166859)"
9936,chr1-90405738-90406002,"Cops8 (-197111), Ackr3 (+201890)"
9937,chr1-90407276-90407389,"Cops8 (-195648), Ackr3 (+203353)"
9938,chr1-90408602-90408983,"Cops8 (-194188), Ackr3 (+204813)"
9939,chr1-90412430-90413295,"Cops8 (-190118), Ackr3 (+208883)"
9940,chr1-90424163-90424778,"Cops8 (-178510), Ackr3 (+220491)"
9941,chr1-90454067-90454302,"Cops8 (-148796), Ackr3 (+250205)"
9942,chr1-90463453-90463608,"Cops8 (-139450), Ackr3 (+259551)"
9943,chr1-90464052-90464623,"Cops8 (-138643), Ackr3 (+260358)"
9944,chr1-90486423-90486718,"Cops8 (-116410), Ackr3 (+282591)"
9945,chr1-90490243-90490812,"Cops8 (-112453), Ackr3 (+286548)"
9946,chr1-90499712-90499873,"Cops8 (-103188), Ackr3 (+295813)"
9947,chr1-90504447-90504959,"Cops8 (-98278), Ackr3 (+300723)"
9948,chr1-90505716-90505850,"Cops8 (-97198), Ackr3 (+301803)"
9949,chr1-90506675-90506838,"Cops8 (-96224), Ackr3 (+302777)"
9950,chr1-90524964-90525159,"Cops8 (-77919), Ackr3 (+321082)"
9951,chr1-90535820-90536326,"Cops8 (-66908), Ackr3 (+332093)"
9952,chr1-90544211-90544553,"Cops8 (-58599), Ackr3 (+340402)"
9953,chr1-90577558-90577689,"Cops8 (-25357), Ackr3 (+373644)"
9954,chr1-90577999-90578473,"Cops8 (-24745), Ackr3 (+374256)"
9955,chr1-90582737-90582866,"Cops8 (-20179), Ackr3 (+378822)"
9956,chr1-90583749-90583922,"Cops8 (-19145), Ackr3 (+379856)"
9957,chr1-90588318-90588651,"Cops8 (-14496), Ackr3 (+384505)"
9958,chr1-90590936-90591112,"Cops8 (-11957), Ackr3 (+387044)"
9959,chr1-90592689-90593149,"Cops8 (-10062), Ackr3 (+388939)"
10046,chr1-91412482-91414335,Hes6 (-187)
10047,chr1-91428595-91429050,"Hes6 (-15601), Per2 (+30501)"
10048,chr1-91433957-91434085,"Hes6 (-20799), Per2 (+25303)"
10049,chr1-91436165-91436674,"Hes6 (-23198), Per2 (+22904)"
10050,chr1-91451638-91451917,"Hes6 (-38556), Per2 (+7546)"
10051,chr1-91455867-91456731,"Hes6 (-43077), Per2 (+3025)"
10235,chr1-93654087-93655001,"Bok (-31116), Stk25 (-18822)"
10236,chr1-93667784-93669568,"Stk25 (-32954), Bok (-16984)"
10237,chr1-93679766-93680833,"Stk25 (-44578), Bok (-5360)"
10238,chr1-93685408-93686937,Bok (+513)
10239,chr1-93687906-93688208,"Bok (+2397), Thap4 (+66723)"
10240,chr1-93694953-93695416,"Bok (+9525), Thap4 (+59595)"
10241,chr1-93697141-93697873,"Bok (+11847), Thap4 (+57273)"
10242,chr1-93711613-93712190,"Bok (+26242), Thap4 (+42878)"
10243,chr1-93714268-93714611,"Bok (+28780), Thap4 (+40340)"
10244,chr1-93726931-93727366,"Thap4 (+27631), Bok (+41489)"
10245,chr1-93731947-93732269,"Thap4 (+22672), Bok (+46448)"
10246,chr1-93743042-93743207,"Thap4 (+11655), Bok (+57465)"
10275,chr1-95397296-95397546,"Fam174a (+83798), St8sia4 (+270150)"
10277,chr1-95436702-95437429,"Fam174a (+123443), St8sia4 (+230505)"
10279,chr1-95450757-95451306,"Fam174a (+137409), St8sia4 (+216539)"
10280,chr1-95451909-95452210,"Fam174a (+138437), St8sia4 (+215511)"
10281,chr1-95454265-95454660,"Fam174a (+140840), St8sia4 (+213108)"
10282,chr1-95468067-95468563,"Fam174a (+154692), St8sia4 (+199256)"
10284,chr1-95590239-95590359,"St8sia4 (+77272), Fam174a (+276676)"
10285,chr1-95617864-95619026,"St8sia4 (+49126), Fam174a (+304822)"
10286,chr1-95624443-95624588,"St8sia4 (+43055), Fam174a (+310893)"
10287,chr1-95644073-95644528,"St8sia4 (+23270), Fam174a (+330678)"
10288,chr1-95665120-95665647,"St8sia4 (+2187), Fam174a (+351761)"
10289,chr1-95665887-95666745,"St8sia4 (+1255), Fam174a (+352693)"
10290,chr1-95667045-95668209,St8sia4 (-56)
10291,chr1-95668487-95668728,St8sia4 (-1037)
10292,chr1-95674213-95674424,St8sia4 (-6748)
10293,chr1-95708941-95709317,St8sia4 (-41558)
10295,chr1-95762311-95763141,St8sia4 (-95155)
10299,chr1-96315811-96316211,"St8sia4 (-648440), Slco4c1 (+556160)"
10335,chr1-97802613-97802997,"Ppip5k2 (-32394), Pam (+292827)"
10336,chr1-97809626-97809752,"Ppip5k2 (-39278), Pam (+285943)"
10337,chr1-97821504-97822542,"Ppip5k2 (-51612), Pam (+273609)"
10338,chr1-97823520-97824340,"Ppip5k2 (-53519), Pam (+271702)"
10339,chr1-97833603-97834530,"Ppip5k2 (-63656), Pam (+261565)"
10340,chr1-97841612-97842004,"Ppip5k2 (-71397), Pam (+253824)"
10341,chr1-97856623-97856794,"Ppip5k2 (-86298), Pam (+238923)"
10342,chr1-97861700-97862955,"Ppip5k2 (-91917), Pam (+233304)"
10343,chr1-97872193-97872738,"Ppip5k2 (-102055), Pam (+223166)"
10345,chr1-97879206-97879634,"Ppip5k2 (-109009), Pam (+216212)"
10346,chr1-97904034-97904661,"Ppip5k2 (-133937), Pam (+191284)"
10347,chr1-97907131-97907529,"Ppip5k2 (-136919), Pam (+188302)"
10348,chr1-97910732-97911354,"Ppip5k2 (-140632), Pam (+184589)"
10349,chr1-97918297-97918952,"Ppip5k2 (-148214), Pam (+177007)"
10350,chr1-97921854-97922162,"Ppip5k2 (-151597), Pam (+173624)"
10351,chr1-97958056-97958228,"Ppip5k2 (-187731), Pam (+137490)"
10352,chr1-97963283-97963705,"Ppip5k2 (-193083), Pam (+132138)"
10353,chr1-97976209-97977820,"Ppip5k2 (-206604), Pam (+118617)"
10355,chr1-97988763-97989270,"Ppip5k2 (-218606), Pam (+106615)"
10356,chr1-97991968-97992300,"Ppip5k2 (-221723), Pam (+103498)"
10357,chr1-98038351-98038536,"Ppip5k2 (-268033), Pam (+57188)"
10358,chr1-98047725-98048283,"Ppip5k2 (-277593), Pam (+47628)"
10359,chr1-98050447-98051306,"Ppip5k2 (-280466), Pam (+44755)"
10360,chr1-98057127-98057248,"Ppip5k2 (-286777), Pam (+38444)"
10361,chr1-98058225-98058629,"Ppip5k2 (-288016), Pam (+37205)"
10362,chr1-98058970-98059677,"Ppip5k2 (-288913), Pam (+36308)"
10364,chr1-98062194-98062296,"Ppip5k2 (-291834), Pam (+33387)"
10365,chr1-98072156-98072374,"Ppip5k2 (-301854), Pam (+23367)"
10366,chr1-98079554-98079907,"Ppip5k2 (-309320), Pam (+15901)"
10367,chr1-98084813-98084901,"Ppip5k2 (-314446), Pam (+10775)"
10368,chr1-98086513-98087101,"Ppip5k2 (-316396), Pam (+8825)"
10369,chr1-98094545-98096033,Pam (+343)
10370,chr1-98131265-98131832,"Slco6d1 (-289575), Pam (-35917)"
10371,chr1-98132049-98132392,"Slco6d1 (-288903), Pam (-36589)"
10372,chr1-98132781-98132978,"Slco6d1 (-288244), Pam (-37248)"
10373,chr1-98176765-98176927,"Slco6d1 (-244278), Pam (-81214)"
10374,chr1-98179176-98179318,"Slco6d1 (-241877), Pam (-83615)"
10375,chr1-98190238-98190475,"Slco6d1 (-230767), Pam (-94725)"
10376,chr1-98190819-98191489,"Slco6d1 (-229970), Pam (-95522)"
10377,chr1-98274174-98274396,"Pam (-178653), Slco6d1 (-146839)"
10378,chr1-98275850-98276059,"Pam (-180323), Slco6d1 (-145169)"
10379,chr1-98309881-98310325,"Pam (-214471), Slco6d1 (-111021)"
10380,chr1-98350232-98350526,"Pam (-254747), Slco6d1 (-70745)"
10459,chr10-102125680-102125860,"Nts (+364716), Mgat4c (+444283)"
10463,chr10-102375519-102375830,"Nts (+114811), Mgat4c (+694188)"
10464,chr10-102377376-102377627,"Nts (+112984), Mgat4c (+696015)"
10465,chr10-102416616-102416845,"Nts (+73755), Mgat4c (+735244)"
10466,chr10-102417966-102418110,"Nts (+72448), Mgat4c (+736551)"
10467,chr10-102435163-102435715,"Nts (+55047), Mgat4c (+753952)"
10468,chr10-102444903-102445389,"Nts (+45340), Mgat4c (+763659)"
10469,chr10-102449355-102449878,"Nts (+40869), Mgat4c (+768130)"
10470,chr10-102451615-102452071,"Nts (+38643), Mgat4c (+770356)"
10471,chr10-102490298-102490673,Nts (0)
10472,chr10-102491919-102492053,Nts (-1500)
10473,chr10-102493906-102494083,Nts (-3509)
10474,chr10-102498744-102499368,"Rassf9 (-13166), Nts (-8570)"
10885,chr10-111488738-111489055,"Phlda1 (-17389), Nap1l1 (+8280)"
10887,chr10-111503219-111503328,Phlda1 (-3012)
10888,chr10-111506034-111507336,Phlda1 (+399)
10889,chr10-111507547-111507988,"Krr1 (-464896), Phlda1 (+1482)"
10890,chr10-111509346-111509843,"Krr1 (-463069), Phlda1 (+3309)"
10891,chr10-111510046-111510239,"Krr1 (-462521), Phlda1 (+3857)"
10892,chr10-111515939-111516751,"Krr1 (-456319), Phlda1 (+10059)"
10893,chr10-111519698-111520538,"Krr1 (-452546), Phlda1 (+13832)"
10894,chr10-111521596-111521921,"Krr1 (-450905), Phlda1 (+15473)"
10895,chr10-111532096-111532678,"Krr1 (-440277), Phlda1 (+26101)"
10896,chr10-111533376-111533776,"Krr1 (-439088), Phlda1 (+27290)"
10897,chr10-111539739-111540273,"Krr1 (-432658), Phlda1 (+33720)"
10898,chr10-111543636-111544367,"Krr1 (-428662), Phlda1 (+37716)"
10899,chr10-111558696-111559018,"Krr1 (-413807), Phlda1 (+52571)"
10900,chr10-111559769-111560652,"Krr1 (-412453), Phlda1 (+53925)"
10901,chr10-111564257-111564442,"Krr1 (-408314), Phlda1 (+58064)"
10902,chr10-111569284-111569487,"Krr1 (-403278), Phlda1 (+63100)"
10903,chr10-111571063-111571159,"Krr1 (-401553), Phlda1 (+64825)"
10904,chr10-111574291-111574464,"Krr1 (-398286), Phlda1 (+68092)"
10905,chr10-111574924-111575066,"Krr1 (-397669), Phlda1 (+68709)"
10906,chr10-111575397-111576515,"Krr1 (-396708), Phlda1 (+69670)"
10907,chr10-111578568-111578809,"Krr1 (-393975), Phlda1 (+72403)"
10908,chr10-111583164-111583323,"Krr1 (-389420), Phlda1 (+76958)"
10909,chr10-111588135-111588573,"Krr1 (-384310), Phlda1 (+82068)"
10910,chr10-111595328-111596082,"Krr1 (-376959), Phlda1 (+89419)"
10911,chr10-111599682-111599875,"Krr1 (-372885), Phlda1 (+93493)"
10912,chr10-111600805-111601128,"Krr1 (-371697), Phlda1 (+94681)"
10913,chr10-111624152-111624964,"Krr1 (-348106), Phlda1 (+118272)"
10914,chr10-111660849-111661068,"Krr1 (-311705), Phlda1 (+154673)"
10915,chr10-111672626-111673482,"Krr1 (-299610), Phlda1 (+166768)"
10916,chr10-111676269-111676622,"Krr1 (-296218), Phlda1 (+170160)"
10917,chr10-111694890-111695141,"Krr1 (-277648), Phlda1 (+188730)"
10918,chr10-111715145-111715648,"Krr1 (-257267), Phlda1 (+209111)"
10919,chr10-111724591-111725304,"Krr1 (-247716), Phlda1 (+218662)"
10920,chr10-111725510-111725598,"Krr1 (-247110), Phlda1 (+219268)"
10921,chr10-111739622-111740086,"Krr1 (-232810), Phlda1 (+233568)"
10922,chr10-111740581-111740870,"Krr1 (-231938), Phlda1 (+234440)"
10923,chr10-111769956-111770340,"Krr1 (-202516), Phlda1 (+263862)"
10924,chr10-111771004-111771275,"Krr1 (-201524), Phlda1 (+264854)"
10925,chr10-111776909-111777375,"Krr1 (-195522), Phlda1 (+270856)"
10926,chr10-111795901-111796044,"Krr1 (-176691), Phlda1 (+289687)"
10927,chr10-111801055-111801233,"Krr1 (-171520), Phlda1 (+294858)"
10928,chr10-111801646-111802026,"Krr1 (-170828), Phlda1 (+295550)"
10929,chr10-111803579-111803993,"Krr1 (-168878), Phlda1 (+297500)"
10930,chr10-111806526-111807401,"Krr1 (-165700), Phlda1 (+300678)"
10931,chr10-111824922-111825113,"Krr1 (-147646), Phlda1 (+318732)"
10932,chr10-111831206-111831339,"Krr1 (-141391), Phlda1 (+324987)"
10933,chr10-111834275-111834734,"Krr1 (-138159), Phlda1 (+328219)"
10934,chr10-111835124-111835312,"Krr1 (-137446), Phlda1 (+328932)"
10935,chr10-111835544-111835646,"Krr1 (-137069), Phlda1 (+329309)"
10936,chr10-111842007-111843311,"Krr1 (-130005), Phlda1 (+336373)"
10937,chr10-111856826-111857316,"Krr1 (-115593), Phlda1 (+350785)"
10938,chr10-111867220-111868053,"Krr1 (-105027), Phlda1 (+361351)"
10939,chr10-111874431-111874617,"Krr1 (-98140), Phlda1 (+368238)"
10940,chr10-111878281-111878438,"Krr1 (-94304), Phlda1 (+372074)"
10941,chr10-111899209-111899533,"Krr1 (-73293), Phlda1 (+393085)"
10942,chr10-111908014-111908441,"Krr1 (-64436), Phlda1 (+401942)"
10943,chr10-111912129-111912534,"Krr1 (-60332), Phlda1 (+406046)"
10944,chr10-111924236-111924535,"Krr1 (-48278), Phlda1 (+418100)"
10945,chr10-111925499-111925792,"Krr1 (-47018), Phlda1 (+419360)"
10946,chr10-111936516-111937397,"Krr1 (-35707), Phlda1 (+430671)"
10947,chr10-111954784-111955437,"Krr1 (-17553), Phlda1 (+448825)"
10948,chr10-111957774-111958182,"Krr1 (-14686), Phlda1 (+451692)"
10949,chr10-111966393-111966793,"Krr1 (-6071), Phlda1 (+460307)"
11051,chr10-115617426-115617893,"Tspan8 (-199623), Lgr5 (-29880)"
11052,chr10-115618203-115618781,"Tspan8 (-198791), Lgr5 (-30712)"
11053,chr10-115624080-115624350,"Tspan8 (-193068), Lgr5 (-36435)"
11054,chr10-115714019-115714352,"Lgr5 (-126406), Tspan8 (-103097)"
11055,chr10-115714952-115715119,"Lgr5 (-127256), Tspan8 (-102247)"
11056,chr10-115758261-115758391,"Lgr5 (-170546), Tspan8 (-58957)"
11057,chr10-115758637-115758964,"Lgr5 (-171021), Tspan8 (-58482)"
11058,chr10-115759519-115760137,"Lgr5 (-172048), Tspan8 (-57455)"
11059,chr10-115762157-115762365,"Lgr5 (-174481), Tspan8 (-55022)"
11060,chr10-115770861-115771105,"Lgr5 (-183203), Tspan8 (-46300)"
11061,chr10-115775865-115776465,"Lgr5 (-188385), Tspan8 (-41118)"
11062,chr10-115778276-115778473,"Lgr5 (-190595), Tspan8 (-38908)"
11063,chr10-115778776-115778901,"Lgr5 (-191059), Tspan8 (-38444)"
11064,chr10-115780293-115780519,"Lgr5 (-192626), Tspan8 (-36877)"
11065,chr10-115784073-115784233,"Lgr5 (-196373), Tspan8 (-33130)"
11066,chr10-115796087-115796362,"Lgr5 (-208445), Tspan8 (-21058)"
11067,chr10-115799959-115800163,"Lgr5 (-212281), Tspan8 (-17222)"
11068,chr10-115806008-115806300,"Lgr5 (-218374), Tspan8 (-11129)"
11069,chr10-115811182-115811588,"Lgr5 (-223605), Tspan8 (-5898)"
11070,chr10-115816288-115817558,Tspan8 (-360)
11071,chr10-115829990-115830552,"Ptprr (-187942), Tspan8 (+12988)"
11072,chr10-115845806-115846394,"Ptprr (-172113), Tspan8 (+28817)"
11073,chr10-115862001-115862446,"Ptprr (-155989), Tspan8 (+44941)"
11074,chr10-115892069-115892194,"Ptprr (-126081), Tspan8 (+74849)"
11075,chr10-115892844-115893238,"Ptprr (-125172), Tspan8 (+75758)"
11076,chr10-115894065-115894332,"Ptprr (-124014), Tspan8 (+76916)"
11077,chr10-115907646-115907825,"Ptprr (-110477), Tspan8 (+90453)"
11078,chr10-115979105-115979315,"Ptprr (-39003), Tspan8 (+161927)"
11079,chr10-115986745-115986925,"Ptprr (-31378), Tspan8 (+169552)"
11080,chr10-115989603-115990247,"Ptprr (-28288), Tspan8 (+172642)"
11222,chr10-117253549-117253987,"9530003J23Rik (-15065), Lyz2 (+28553)"
11223,chr10-117282123-117282408,Lyz2 (+55)
12048,chr10-127170147-127170297,"B4galnt1 (+4997), Slc26a10 (+10423)"
12049,chr10-127170719-127171367,"B4galnt1 (+5818), Slc26a10 (+9602)"
12050,chr10-127177606-127178475,"Slc26a10 (+2604), B4galnt1 (+12816)"
12051,chr10-127180218-127180550,Slc26a10 (+261)
12052,chr10-127183736-127184108,Slc26a10 (-3277)
12070,chr10-127288342-127291399,"Mbd6 (-981), Ddit3 (-903)"
12101,chr10-127508392-127508648,"Ndufa4l2 (-6447), Stac3 (+6803)"
12102,chr10-127508999-127509483,"Ndufa4l2 (-5726), Stac3 (+7524)"
12103,chr10-127512077-127512308,Ndufa4l2 (-2774)
12104,chr10-127512891-127513153,Ndufa4l2 (-1945)
12105,chr10-127515723-127515852,Ndufa4l2 (+821)
12106,chr10-127516441-127517042,"Ndufa4l2 (+1775), Shmt2 (+5702)"
12134,chr10-127653068-127653656,"Stat6 (+10376), Nab2 (+13348)"
12135,chr10-127655411-127655550,"Nab2 (+11229), Stat6 (+12495)"
12136,chr10-127658244-127658433,"Nab2 (+8371), Stat6 (+15353)"
12137,chr10-127661894-127662875,"Nab2 (+4325), Stat6 (+19399)"
12138,chr10-127666424-127668498,Nab2 (-751)
12139,chr10-127668810-127668972,Nab2 (-2181)
12153,chr10-127744696-127744995,"Zbtb39 (+5308), Gpr182 (+6886)"
12154,chr10-127748913-127749954,"Gpr182 (+2298), Zbtb39 (+9896)"
12155,chr10-127751632-127751871,Gpr182 (-20)
12156,chr10-127754575-127755189,"Rdh16f1 (-4905), Rdh1 (-4839), Gpr182 (-3150)"
12157,chr10-127756003-127756555,"Gpr182 (-4547), Rdh16f1 (-3508), Rdh1 (-3442)"
12296,chr10-128900728-128901058,Cd63 (-96)
12297,chr10-128909521-128910722,"Cd63 (+9133), Rdh5 (+9175)"
12298,chr10-128913160-128913539,"Rdh5 (+5947), Cd63 (+12361)"
12490,chr10-16751290-16751783,Cited2 (-971696)
12491,chr10-16789755-16790068,Cited2 (-933321)
12492,chr10-16812723-16813281,Cited2 (-910231)
12493,chr10-16874253-16874442,Cited2 (-848885)
12494,chr10-16962544-16962789,Cited2 (-760566)
12495,chr10-16996893-16997266,Cited2 (-726153)
12496,chr10-17038011-17038249,Cited2 (-685103)
12497,chr10-17042890-17043264,Cited2 (-680156)
12498,chr10-17072194-17072837,Cited2 (-650717)
12499,chr10-17075666-17075970,Cited2 (-647415)
12500,chr10-17083043-17083474,Cited2 (-639974)
12501,chr10-17101150-17101501,Cited2 (-621907)
12502,chr10-17102128-17102479,Cited2 (-620929)
12503,chr10-17103558-17103714,Cited2 (-619597)
12504,chr10-17131818-17131928,Cited2 (-591360)
12505,chr10-17202921-17203055,Cited2 (-520245)
12506,chr10-17212199-17212412,Cited2 (-510927)
12507,chr10-17221520-17222119,Cited2 (-501413)
12508,chr10-17230095-17230787,Cited2 (-492792)
12509,chr10-17236170-17236301,Cited2 (-486997)
12510,chr10-17236848-17237111,Cited2 (-486253)
12511,chr10-17237485-17237772,Cited2 (-485604)
12512,chr10-17239653-17239810,Cited2 (-483501)
12513,chr10-17240136-17240308,Cited2 (-483011)
12514,chr10-17261974-17262405,Cited2 (-461043)
12515,chr10-17330988-17331236,Cited2 (-392121)
12516,chr10-17331730-17331993,Cited2 (-391371)
12517,chr10-17333687-17334173,Cited2 (-389303)
12518,chr10-17347730-17348367,Cited2 (-375184)
12519,chr10-17366108-17366524,Cited2 (-356917)
12520,chr10-17367015-17367594,Cited2 (-355928)
12521,chr10-17406360-17406906,Cited2 (-316600)
12522,chr10-17472587-17472836,Cited2 (-250521)
12523,chr10-17479103-17479251,Cited2 (-244056)
12524,chr10-17484994-17485199,Cited2 (-238136)
12525,chr10-17485451-17485705,Cited2 (-237655)
12526,chr10-17496725-17497475,Cited2 (-226133)
12527,chr10-17511785-17512192,Cited2 (-211244)
12528,chr10-17521909-17522532,Cited2 (-201012)
12529,chr10-17528030-17528664,Cited2 (-194886)
12530,chr10-17540505-17541238,Cited2 (-182361)
12531,chr10-17549970-17550437,Cited2 (-173029)
12532,chr10-17558604-17558792,Cited2 (-164535)
12533,chr10-17559694-17559821,Cited2 (-163475)
12534,chr10-17561260-17561864,Cited2 (-161671)
12535,chr10-17565350-17565592,Cited2 (-157762)
12536,chr10-17574914-17576483,Cited2 (-147534)
12537,chr10-17584915-17585422,Cited2 (-138064)
12538,chr10-17602537-17602787,Cited2 (-120571)
12539,chr10-17621864-17623034,Cited2 (-100784)
12540,chr10-17629667-17630104,Cited2 (-93347)
12541,chr10-17631945-17632235,Cited2 (-91143)
12542,chr10-17653438-17653603,Cited2 (-69712)
12543,chr10-17656261-17657315,Cited2 (-66445)
12544,chr10-17683824-17684190,Cited2 (-39226)
12545,chr10-17689942-17690313,Cited2 (-33105)
12546,chr10-17713919-17714200,Cited2 (-9173)
12547,chr10-17721899-17724553,Cited2 (-7)
12548,chr10-17728068-17728172,"Txlnb (-68136), Cited2 (+4887)"
12549,chr10-17729563-17729807,"Txlnb (-66571), Cited2 (+6452)"
12550,chr10-17733138-17733462,"Txlnb (-62956), Cited2 (+10067)"
12551,chr10-17760864-17761929,"Txlnb (-34859), Cited2 (+38164)"
12552,chr10-17772280-17772854,"Txlnb (-23689), Cited2 (+49334)"
12553,chr10-17776967-17777292,"Txlnb (-19126), Cited2 (+53897)"
12828,chr10-20954247-20954483,"Ahi1 (+1818), Myb (+206540)"
12829,chr10-20966143-20966409,"Ahi1 (+13729), Myb (+194629)"
12830,chr10-20970663-20970757,"Ahi1 (+18163), Myb (+190195)"
12831,chr10-20976026-20976224,"Ahi1 (+23578), Myb (+184780)"
12832,chr10-20992675-20993051,"Ahi1 (+40316), Myb (+168042)"
12833,chr10-20995444-20995646,"Ahi1 (+42998), Myb (+165360)"
12834,chr10-21008318-21008549,"Ahi1 (+55887), Myb (+152471)"
12835,chr10-21017863-21018022,"Ahi1 (+65396), Myb (+142962)"
12836,chr10-21020614-21021001,"Ahi1 (+68261), Myb (+140097)"
12837,chr10-21025890-21026213,"Ahi1 (+73505), Myb (+134853)"
12838,chr10-21026781-21027215,"Ahi1 (+74451), Myb (+133907)"
12839,chr10-21027966-21028110,"Ahi1 (+75491), Myb (+132867)"
12840,chr10-21048577-21048907,"Ahi1 (+96195), Myb (+112163)"
